date,tweet,day,hour,nlikes,nreplies,nretweets
1/2/2017 6:07,i overthink a lot i be sensitive and clingy but i really do try my hardest to be good enough so i be sorry if that be not enough,1,6,10135,19,7021
12/17/2016 4:04,do you ever just sit there and realize that you mean nothing to anyone and you start feel lose alone and unloved and truly unwanted,6,4,10052,46,6068
12/16/2016 3:05,she pretend like nothing happen because she want people to see her strong only she know how painful emotionaly mentally she really be,5,3,7679,12,5060
12/9/2016 6:25,be sad for no reason be worse than be sad for a reason because there be absolutely nothing you can do to make yourself feel better,5,6,7790,15,5041
10/6/2016 12:05,i prefer to distance myself whenever i be mad because i turn into the most heartless person you will ever meet and you be go hate me for that,4,12,7033,16,4863
7/21/2016 5:08,i be sorry for be annoy when i want to talk needy because i miss you emotional when i care and insecure because i be afraid to lose you,4,5,7650,26,4808
7/18/2016 0:35,why be you sad i do not know no reason oh no there be plenty of reason i be just not really sure which one it be this time,1,0,8561,17,5747
7/16/2016 0:29,do you ever feel ok but your sad at the same time you just want to talk to someone and hug them but you feel annoy so you just stay quiet,6,0,7526,26,4735
7/4/2016 0:40,she might be laugh but deep inside she be hurt she be try to get her mind off things that make her upset by pretend to be fine,1,0,6893,9,4666
7/3/2016 21:37,i literally notice the smallest of change in how people treat me and i overthink into think everyone hat me,7,21,7939,18,5044
7/1/2016 8:18,you unintentionally make yourself sad you feel alone even when you be not and sometimes you do not even know what be wrong,5,8,10153,8,6416
7/1/2016 7:42,people think you be rude or always in a bad mood,5,7,6257,7,4478
7/1/2016 5:15,it be easier just to say i be fine when somebody ask if you be okay because sometimes it be not possible to explain why you be not,5,5,5813,15,3948
6/10/2016 16:31,do you ever just make up scenarios in your head that you know will never happen but it make you so happy so you just keep on imagine them,5,16,5933,36,3522
6/10/2016 15:35,oh ok actually mean my heart just get rip into a million piece but i will not tell you because you would not care how i feel anyway,5,15,6298,9,3854
6/3/2016 5:41,i never really know where i stand in some people life one minute they treat me like i be something special then nothing the next,5,5,7354,18,5344
6/2/2016 21:46,the worst feel be when you find out you do not mean as much to someone as you think you do and you look so stupid for care too much,4,21,6844,17,4571
5/29/2016 5:12,every night i think about all the mistake i have make and how much i regret make those decisions because my life could have be different,7,5,5492,16,4079
5/29/2016 4:27,the worst type of cry be at night when everyone be asleep and you have to control it with your hand over your mouth to not make a sound,7,4,7599,29,4597
5/22/2016 4:17,sometimes it be better to keep silent than to tell others how you feel because it hurt know they can hear you but not understand you,7,4,5639,12,4360
5/21/2016 21:58,i hate get flashbacks from things you do not want to remember it feel like your heart suddenly drop and anxiety start take you over,6,21,5051,9,3668
5/21/2016 2:51,i be sorry i have trust issue but when you give someone everything and they toss it away like nothing something inside of you break,6,2,4700,8,3130
5/20/2016 3:32,i need someone who will understand how unstable i be sometimes be alone can be dangerous for me but other time its exactly what i need,5,3,4381,10,3158
4/26/2016 0:39,my only relief be to sleep when i be sleep i be not sad i be not angry i be not scar i be not hurt i be not lonely i be just nothing,2,0,5332,20,3958
4/24/2016 16:38,i hate this feel like i be here but i be notlike someone care but they do not it be like i belong somewhere anywhere but here,7,16,3246,2,2369
4/23/2016 3:39,have you ever want to cry but no tear come out so you just stare blankly into space while feel your heart break into a million piece,6,3,5335,11,3574
4/22/2016 15:59,i feel myself change i do not laugh the same anymore i do not smile the same or talk the same i be just so tire and mentally exhaust,5,15,4984,8,3529
4/9/2016 0:35,pain change people it make them trust less overthink more and shut people out,6,0,4104,7,3371
4/8/2016 22:16,nothing hurt more then be ignore replace forget lie to,5,22,4260,16,3462
4/6/2016 6:28,you think you be do okay and then suddenly it be a nighttime and you be alone and you be not really sure how to distract yourself anymore,3,6,4714,6,3370
4/6/2016 2:26,all the things i do wrong 1 i rely on someone for my happiness 2 i love people more than i love myself 3 i never ask for help,3,2,4185,9,2857
3/27/2016 0:56,we hide behind a fake smile to mask the pain but sometimes we wish someone would look closely enough and see how break we really be inside,7,0,4287,10,3306
3/26/2016 18:10,type haha when you cannot even smile act like you be happy when all you want to do be cry tell everyone you be okay when you be not,6,18,4001,10,2969
3/25/2016 21:50,do you ever feel the need to ask someone if they actually still want you in their life because it always feel like they do not really care,5,21,3998,6,2937
3/24/2016 4:08,you smile but all you want be to cry you talk but you really just want to be quiet you pretend like you be happy but you really be not,4,4,2958,3,2291
3/24/2016 2:36,that worthless feel where you should just lock yourself in a dark room because everything you do or say just seem to piss people off,4,2,3029,6,2367
3/24/2016 0:04,she be scar to get to close to anyone anymore because everyone who promise her they would stay turn their back on her and walk away,4,0,2835,5,2415
3/21/2016 1:49,have you ever be in one of those moods where you do not really know what be wrong but you feel really irritate with everyone and everything,1,1,3269,17,2555
3/19/2016 19:06,i be scar to get close to people because i think they will eventually walk out of my life no matter how close we be because they always do,6,19,2529,9,2029
1/18/2016 3:29,fghhhhjjjj,1,3,0,0,0
1/18/2016 3:28,fgjj,1,3,0,0,0
12/27/2015 4:50,she be hurt mentally and emotionally but everyday she walk with a smile because that be who she be the girl who never stop smile,7,4,4294,13,3599
12/27/2015 4:13,when i be hurt i shut down i turn into a total bitch i shut off my emotions i act differently towards everything and everyone and i hate it,7,4,3339,5,2905
12/27/2015 4:01,so many people in this world have trust issue because people say i be here for you and then run away as soon as things start to fall apart,7,4,2717,9,2551
12/26/2015 4:13,just because her eye do not tear up do not mean her heart do not cry and just because she come off strong do not mean nothing be wrong,6,4,3149,2,2835
12/22/2015 2:51,hate get flashbacks from things you do not want to remember it feel like your heart suddenly drop and anxiety start take over վou,2,2,2705,3,2323
12/22/2015 2:24,when i cry about one thing i end up cry about everything that be mess up in my life,2,2,4022,11,3287
12/21/2015 15:51,it really suck want to talk to someone but you really do not want to annoy anyone because they seem totally fine without you,1,15,3593,10,2907
12/21/2015 6:46,everything be change and i do not know where i fit anymore,1,6,2888,2,2543
12/21/2015 5:24,they say it will get better but its a lie it do not get better you just get use to it,1,5,3319,8,2691
12/21/2015 4:06,it be painful to say goodbye to someone you do not want to let go but more painful to ask someone to stay when you know they want to leave,1,4,2564,4,1967
12/21/2015 1:22,i hate the fact that i cry when i be angry and that be the worst thing ever because you be try to act tough and mean but instead you cry,1,1,2285,3,1912
12/19/2015 3:20,every night i convince myself tomorrow will be different but it never be,6,3,2989,6,2572
12/19/2015 3:06,my biggest problem be overthinking everything,6,3,2756,8,2899
12/19/2015 0:51,you smile but you want to cry you talk but you just want to be quiet and you pretend that you be happy but you be not,6,0,2013,3,1789
12/17/2015 10:32,i be the type of person that one thing can change my mood completely and i can go from confident to insecure in a matter of second,4,10,2671,5,2251
12/17/2015 7:40,i be a paradox neither happy or sad i smile at pretty things amp laugh at funny things but at night i become a mess of emotions and thoughts,4,7,3128,4,2494
12/16/2015 4:00,have you ever just randomly start cry because you have be hold in all of these emotions and pretend to be happy for way too long,3,4,3496,14,2581
12/15/2015 18:54,it hurt so much when you can feel yourself become less and less important to the one person who truly mean the most to you,2,18,3176,9,2356
12/12/2015 4:18,pain change people it make them trust less overthink more and shut people out,6,4,2075,4,1978
12/12/2015 2:09,have you ever really want to ask a question but you do not because you know in your heart that you would not be able to handle the answer,6,2,2077,5,1820
12/11/2015 5:57,you have change try go through what i have go through and then see if you be the same pain change people it make it harder to trust,5,5,2034,1,1845
12/11/2015 3:01,physically mentally emotionally tire,5,3,2394,3,2666
12/5/2015 0:08,its sad nobody ever know how much someone be actually hurt someone right next to you could be completely break and you would not know,6,0,2934,5,2235
12/4/2015 22:02,you be so afraid to tell people how you feel because you fear rejection so you bury it deep inside yourself where it only destroy you more,5,22,2865,6,2378
12/4/2015 15:07,my problem be that i start depend on people for my happiness and when they leave like they always do they take my happiness with them,5,15,2562,7,2101
12/4/2015 3:44,how painful be it to say i be fine to the person who be the reason you be break,5,3,2778,7,2033
12/3/2015 5:56,one minute everything be okay and the next i have no idea what be go on,4,5,1985,4,1995
12/3/2015 1:20,the worst feel be feel unwanted by the person you need the most,4,1,2431,9,1931
12/1/2015 2:43,it really hurt when someone be not in the mood to talk to you but when it come to someone else they act like the happiest person alive,2,2,2122,5,1778
11/29/2015 3:33,it be scary that you never really know what someone be think or feel towards you and everything that they say could be one massive lie,7,3,1997,3,1751
11/29/2015 1:43,all i ever want be for someone to not give up on me no matter how much i screw up and no matter how much i push them away they will stay,7,1,2403,12,2059
11/28/2015 15:57,i be so sorry for all the people that have to deal with my constant up and down moods daily,6,15,1857,11,1849
11/23/2015 3:28,how many time have you type i be okay while cry,1,3,3124,24,2110
11/21/2015 22:21,it be easier just to say i be fine when somebody ask if you be okay because sometimes it be not possible to explain why you be not,6,22,2050,4,1827
11/13/2015 7:48,i be sorry i cannot live up to your expectations i be sorry i cannot be normal like everyone else i be sorry i be not as good as everyone else,5,7,2913,8,2946
11/13/2015 6:15,i cannot stand how quickly my mood change it effect my whole life because nobody understand me and people just get really annoy with me,5,6,2498,10,2370
11/13/2015 4:11,do not come to my gravestone and display emotions which you never once show to me while i be breathe because that could have keep me alive,5,4,2399,5,1781
11/13/2015 1:42,have you be so sad and tire and want to be alone but at the same time you really wish there be someone who you could talk to who care,5,1,2993,13,2890
11/11/2015 22:03,i be the girl who pretend people word do not hurt me just so they do not know how sensitive i really be,3,22,2665,10,2283
11/11/2015 8:11,have you ever want to cry but no tear come out so you just stare blankly into space while feel your heart break into a million piece,3,8,2609,11,2057
11/10/2015 20:41,i do not really think people understand how stressful it be to explain what be go on in your head when you do not even understand yourself,2,20,2305,7,2209
11/10/2015 0:23,it hurt like hell when you know that you need to let go of someone but you cannot because you be still wait for the impossible to happen,2,0,2268,7,1822
11/9/2015 2:16,i hate get close to people these days i always regret share too much care too much do too much and feel too much,1,2,2149,5,1940
11/8/2015 21:26,it be kind of sad when you realize the person you use to tell everything to now have no idea of what be happen with your life,7,21,2363,11,2040
11/8/2015 13:16,i hate that feel when you be not necessarily sad but you just feel really empty,7,13,2066,6,1980
11/7/2015 21:31,i have disappoint a lot of people this year but believe me when i say there be no one i have disappoint more than myself,6,21,1804,1,1821
11/6/2015 19:12,my thoughts always destroy my mood,5,19,1997,4,2129
11/6/2015 7:41,she be just break and probably cry herself to sleep almost every night although she tell you she be do fine and she be okay but she be not,5,7,2143,1,1771
11/6/2015 6:05,it be unbelievable how fast people can change one day you mean everything the next day you do not exist anymore,5,6,1486,5,1465
11/6/2015 5:48,when you be ignore by someone whose attention mean the most to you be the worst feel you start to over think and it eat away at you,5,5,1801,6,1573
11/5/2015 20:46,i be just so tire tire of never be good enough tire of get put down tire of cry tire of insecurities tire of be tire,4,20,1985,7,2041
11/5/2015 1:27,i really hate when i say things without think i always end up hat myself a little more each time know i might of upset someone,4,1,1416,5,1365
11/3/2015 8:42,that feel when you can actually feel the pain in your chest from hear something or see something that really break your heart,2,8,2201,10,1965
11/2/2015 19:35,i be literally so tire of be nice to people and go out of my way to make sure they be okay and happy just to be treat like shit,1,19,1750,7,1683
11/2/2015 3:15,i hate when i cry about one thing then i end up cry about everything that be mess up in my life,1,3,1952,5,1984
11/2/2015 2:39,you do not know pain until you be star at the mirror with tear stream down your face beg yourself to just hold on and be strong,1,2,2126,7,1752
10/23/2015 23:26,it be sad that we can find thousands of people on twitter who understand and feel the same way we do but in everyday life we have no one,5,23,2050,16,1974
10/23/2015 20:44,have you ever felt like you want to cry in the middle of the night without know which one of the reason it be that make you want cry,5,20,2022,4,1901
10/23/2015 17:27,you cannot just break someone into a million piece and treat them like crap and then expect them to be okay just because you say i be sorry,5,17,1726,4,1842
10/23/2015 5:28,i have always be afraid of lose people i love sometimes i wonder if there be anyone out there afraid to lose me,5,5,1764,7,2082
10/23/2015 4:49,maybe i be better of alone because no one have ever love me the way i love them and i have never felt like anyone want me or need me at all,5,4,1997,12,1771
10/23/2015 3:08,the worst type of cry be the silent one the one where you really have to hold your breath and grab your stomach just to keep quiet,5,3,2081,4,1913
10/23/2015 0:09,she pretend like nothing happen because she want people to see how strong she be only she know how painful and emotional she really be,5,0,1916,5,2035
10/20/2015 7:38,when i say i be okay i want someone to look me in the eye hug me tight and say i know you be not,2,7,2282,6,2076
10/20/2015 3:31,when someone stop talk to me the way they use to i sit and stress myself think if everything else we share together be just a lie,2,3,1821,2,1735
10/20/2015 2:01,every time i think about how stress i be i get even more stress so it be like a never end stress cycle i cannot seem to break free from,2,2,1375,3,1489
10/20/2015 0:46,how be it possible that someone can hurt you repeatedly and you still care for them so much,2,0,1704,12,1647
10/19/2015 6:27,you do not realize how lonely you be until it be the end of the day and you have a bunch of things to talk about but no one to tell them to,1,6,2066,9,1898
10/19/2015 3:11,your twitter be one of those things that you want everyone to see but at the same time you never want to show it to anyone,1,3,1651,2,1571
10/19/2015 0:47,that embarrass moment when you have to quickly wipe away your tear put a fake smile on because you hear someone come in to the room,1,0,2394,9,1889
10/18/2015 23:41,do you ever have one of those days where nothing go wrong but you feel like you hate the world and you just feel like break down cry,7,23,1689,5,1453
10/17/2015 22:48,when you have be sad for so long that when something bad happen you do not cry you just sit there and feel numb,6,22,1573,1,1400
10/17/2015 19:07,depression be not always the girl cry in the bathroom or wear long sleeves sometimes it be the girl with the biggest smile on her face,6,19,2204,11,1727
10/17/2015 4:43,those teenagers who sit in their room at night cry themselves to sleep be once children with light in their eye and hope in their heart,6,4,2294,6,1689
10/17/2015 4:13,i be officially do try if you want me in your life you can come find me until then continue treat me like i do not exist,6,4,1770,4,1720
10/16/2015 5:11,i get so sad i get insecure i get jealous i get lonelyi i overreact and i make mistake but ipromise i will always give you my loyalty,5,5,1655,5,1558
10/16/2015 2:30,it hurt so much when you can feel yourself become less and less important to the one person who reay mean the most to you,5,2,1857,3,1751
10/14/2015 2:17,it be funny how you think you be do fine but then one little thing remind you of the past and it all come back and slap you in the face,3,2,1757,3,1779
10/14/2015 0:07,what happen we just stop talk,3,0,1378,6,1495
10/13/2015 16:23,i be sorry i have trust issue but when you give someone everything and they just toss it away like nothing something inside of you break,2,16,1152,2,1253
10/13/2015 13:12,i be a paradox neither happy or sad i smile at pretty things laugh at funny things but at night i become a mess of emotions and thoughts,2,13,1683,2,1675
10/13/2015 12:57,i always overuse the word tire because i cannot find a better word to describe how i feel and that be literally the only thing i feel,2,12,1274,4,1351
10/11/2015 4:33,when i die do not come to my grave amp sit there tellin me how much you love and miss me those be the things i need to hear when i be alive,7,4,2082,5,2164
10/10/2015 17:58,when i be upset and i want to talk to someone about it i realise they probably would not care or know what to say so i keep it all inside,6,17,1594,6,1570
10/10/2015 17:52,you be the person that will not ask for help would never tell your parent what be wrong but you be the one that need help the most i know,6,17,1779,10,1349
10/10/2015 4:37,silence do not always mean yes sometimes it mean i be tire of explain to people who do not even care to understand,6,4,1236,1,1429
10/10/2015 2:58,i really just need a day off from reality just a day without people problems and all the bullshit that constantly run through my mind,6,2,1235,2,1446
10/10/2015 2:41,i always act like i be fine and everyone think i be okay but when the light be off and i be all alone that be when my tear start to fall,6,2,1805,5,1726
10/8/2015 18:51,that sick feel when you can actually feel the pain in your chest from hear something or see something that really break your heart,4,18,1501,9,1491
10/8/2015 3:30,i hate get flashbacks from things you do not want to remember it feel like your heart suddenly drop and anxiety start take over you,4,3,1411,5,1621
10/5/2015 6:24,she be jealous because she care she accuse you because she be be hurt she ask the same question because she need reassurance she care,1,6,1507,2,1555
10/5/2015 5:18,that feel when you can actually feel the pain in your chest from hear something or see something that just really break your heart,1,5,1596,7,1823
10/3/2015 22:31,i need someone in my life who care about me as much as i care about them because i be so tire of always be the one who care more,6,22,1809,14,1860
10/3/2015 22:03,have you ever just randomly start cry because you have be hold in all of these emotions and pretend to be happy for way too long,6,22,2250,10,2014
10/3/2015 2:41,it really hurt when you care so much about someone and get so attach to them and one day they just turn around and leave like nothing,6,2,1394,6,1519
10/2/2015 11:05,it suck do not it feel like you be not good enough no matter how hard you try,5,11,1772,5,2017
10/2/2015 8:11,she hide all her problems behind a smile behind her smile be a world of pain and hurt you think you know her but you really have no idea,5,8,1379,2,1572
10/2/2015 4:25,be sad for no reason be worse than be sad for a reason because there be absolutely nothing you can do to make yourself feel any better,5,4,1269,1,1281
9/29/2015 9:40,i be so tire i be stress and i be sad everything hurt i be about to break down and i know i should be stronger than this but i be not,2,9,1842,6,2135
9/29/2015 3:17,i prefer to distance myself whenever i be in a bad mood because i will become the most heartless person you will ever meet,2,3,1281,3,1503
9/28/2015 21:29,do you ever just stay up all night long think about your mistake and regret for not say the things that you should have say i do,1,21,1167,7,1304
9/28/2015 2:51,i be sorry for be annoy when i want to talk needy because i miss you emotional when i care and insecure because i be afraid to lose you,1,2,1304,6,1448
9/27/2015 20:16,i have so much on my mind but i end up say nothing at all,7,20,1341,6,1703
9/27/2015 3:22,the worst type of cry be the silent one the one where you have to hold your breath and grab your stomach to keep quiet,7,3,1637,3,1598
9/26/2015 19:25,i be a really hard person to understand i have major issue with talk about all my feel and thoughts and i be really sorry i be try,6,19,1645,11,1699
9/26/2015 5:54,do you ever just sit there and realize that you mean nothing to anyone and you start feel lose alone and unloved and truly unwanted,6,5,1779,14,1683
9/23/2015 5:12,it hurt when you go through something that kill you inside but you have to act like it do not affect you at all,3,5,1730,3,1946
9/22/2015 20:08,i be sorry i have trust issue but when you give someone everything and they toss it away like nothing something inside of you just break,2,20,1229,2,1235
9/22/2015 16:38,have you ever be so sad that it physically hurt,2,16,1666,11,1416
9/22/2015 4:41,i be truly sorry i get sad over nothing i be sorry i feel everything at once i be really sorry i be so screw up i be sorry i mess everything up,2,4,1449,5,1486
9/22/2015 0:01,what if twitter tweet your thoughts without permission we would all be in the shit,2,0,1222,6,1341
9/21/2015 9:30,i have disappoint a lot of people this year but trust me when i say there be no one i have disappoint more than myself,1,9,1358,6,1587
9/21/2015 6:22,i have try so hard to make myself a better person but for some reason i be never enough,1,6,1458,9,1808
9/21/2015 6:05,i be sorry that i be not everything you want and i be sorry that my best be not good enough i be sorry that everything i do disappoint you,1,6,1353,3,1542
9/19/2015 23:02,depression be not always suicide note and pill bottle sometimes it be all smile and fake laughter depression be not always easy to notice,6,23,1985,6,1516
9/12/2015 6:39,do you ever miss the person that you use to be before you get your heart break before you lose someone or before your family fell apart,6,6,1966,7,1906
9/12/2015 5:04,why be you sad i do not know anymore,6,5,2194,10,2481
9/12/2015 4:33,be ignore hurt like hell and it make me think i do something wrong then i start to over think everything,6,4,1531,7,1704
9/9/2015 2:34,instead of tell you how i feel i sit on twitter and post tweet about it,3,2,1575,20,1699
9/9/2015 0:49,oh sorry i forget i only exist when you need something,3,0,1465,8,1654
9/9/2015 0:43,some people suddenly change one day you be important next day you be worthless,3,0,1442,10,1675
9/6/2015 18:20,i destroy myself so you could not,7,18,1614,6,1561
9/6/2015 5:50,overthinking always destroy my mood,7,5,1415,3,1836
9/5/2015 4:02,i just do not want to bother people with my problems anymore and that be why i act like i be perfectly fine and keep it all to myself,6,4,1867,14,1704
9/4/2015 22:25,i miss the feel of know i be actually important to someone,5,22,1470,13,1446
9/3/2015 4:08,i seriously overthink everything which make me stress myself out and it create problems that be not even there in the first place,4,4,1320,6,1553
9/3/2015 2:26,i be so tire of get lie to tire of be use tire of fake people tire of please people tire of judgmental people just tire,4,2,1308,1,1457
9/3/2015 2:14,i like to pretend that everythings alright because when everybody else think you be fine sometimes you forget for a while that you be not,4,2,1514,1,1589
9/1/2015 23:52,she be the girl who laugh smile and talk a lot and seem really happy she could also be the girl who cry herself to sleep every night,2,23,1806,9,1822
8/31/2015 20:27,mentally and emotionally drain,1,20,1362,8,1729
8/30/2015 18:44,no one notice your tear no one notice your sadness no one notice your pain but they all notice your mistake,7,18,1552,10,1485
8/30/2015 7:00,it hurt when you go through something that kill you inside but you have to act like it do not affect you at all,7,7,1401,7,1395
8/26/2015 4:18,please understand that i be try but my best be never good enough no matter how hard i try,3,4,1061,7,1299
8/25/2015 1:53,when life suck go to bed,2,1,959,8,1357
8/24/2015 16:14,i overthink too much and it destroy me,1,16,1180,5,1293
8/24/2015 2:48,it hurt so much when you can feel yourself become less and less important to the one person who mean the most to you,1,2,1273,7,1175
8/5/2015 4:11,nothing kill you like your own thoughts,3,4,2837,11,3312
8/4/2015 16:36,i do not really know where i stand in some people live one minute they treat me like i be someone special then nothing the next,2,16,2467,7,2614
8/3/2015 2:40,it kind of scar me that sometimes you never truly know what someone be really think or feel towards you despite what they say to you,1,2,1832,5,1962
8/2/2015 12:19,some people say i be too sensitive but the truth be i just feel too much every word every action and every energy go straight to my heart,7,12,1721,8,1906
8/2/2015 5:45,i prefer be really busy just to keep myself from go into deep hurtful thoughts and scenarios but as long as i be busy or asleep i be fine,7,5,1776,6,1693
8/1/2015 15:40,i get so sad i get insecure i get jealous i get lonely i overreact and i make mistake but i promise i will always give you my loyalty,6,15,1706,4,1633
8/1/2015 14:15,you do not get it,6,14,6319,33,4676
7/31/2015 16:27,i need to stop imagine situations in my head that be never go to happen,5,16,1683,15,1743
7/26/2015 17:18,it really hurt so much when you can feel yourself become less and less important to the one person who mean the most to you,7,17,1979,11,1663
7/25/2015 23:40,it really hurt when someone be not in the mood to talk to you but when it come to someone else they seem to be the happiest person alive,6,23,1563,4,1621
7/25/2015 18:01,i be sensitive i over think every little thing and i care way too much,6,18,1306,8,1489
7/25/2015 18:01,overthinking kill my happiness insecurites kill my self esteem lie kill my trust,6,18,1626,10,1664
7/21/2015 2:54,i really hate that feel when you see something and your heart literally sink but you have to just sit there and pretend you do not care,2,2,1281,3,1346
7/21/2015 2:25,you have change try go through what i have go through and then see if you be the same pain change people it make it harder to trust,2,2,1589,6,1638
7/16/2015 16:55,i regret be nice apologize when i do not do anything wrong and for make unworthy people a priority in my life,4,16,1252,5,1274
7/15/2015 2:44,the saddest part be that you can treat me however you want because at the end of the day i will still be here for you no matter what,3,2,1460,5,1340
7/15/2015 2:19,i be scar to get close to people because i think they will eventually walk out of my life no matter how close we be because thay always do,3,2,1173,4,1187
7/12/2015 5:37,i be constantly tear between want to fix myself and want to destroy myself,7,5,1671,11,1475
7/12/2015 3:49,it honestly suck when you have so much on your mind and no one to tell it to,7,3,1581,12,1529
7/11/2015 0:05,my feel oh do not worry about those nobody else do,6,0,1538,16,1523
7/9/2015 3:33,i be completely terrify of be like this for the rest of my life,4,3,1725,13,1520
7/8/2015 21:38,if i annoy you tell me and i will leave you alone because nothing suck more than be unsure of whether someone enjoy your company or not,3,21,1555,2,1666
7/7/2015 4:47,i be the type of person that need answer and closure because i be not good at let things slide without try to understand how and why,2,4,1258,2,1118
7/6/2015 3:33,all my life i have be judge by people i care about ignore by those who say they would never leave me and hurt by the ones i love the most,1,3,1241,7,1211
6/30/2015 7:08,emotionally i be do mentally i be drain physically i smile,2,7,1687,5,1557
6/30/2015 3:31,she be sad because she never share her deepest thoughts or feel with anyone she go her entire life unspoken because nobody understand,2,3,1408,3,1240
6/17/2015 19:06,do you ever feel okay but you be sad at the same time you want to talk to someone and hug them but you feel annoy so you just stay quiet,3,19,1498,14,1295
6/15/2015 18:06,be very careful with your word because some people be more fragile than others and they do not heal easily or maybe they do not heal at all,1,18,1093,1,1137
6/15/2015 2:30,i just want to lie in bed and not participate in life,1,2,978,16,1066
6/15/2015 2:07,its sad nobody ever know how much someone be actually hurt someone right next to you could be completely break and you would not know,1,2,1214,3,1071
6/14/2015 4:32,whenever i be upset and i want to talk to someone about it i realise they probably would not care or know what to say so i keep it all inside,7,4,1018,9,992
